transaction_id,sale_date,store_id,customer_id,product_id,staff_id,quantity,unit_price,unit_cost,total_revenue,total_cost,profit,margin_pct,payment_method,month,day_of_week,quarter,year
25,2024-06-10,2,571,31,6,2,10.22,3.5,20.44,7.0,13.44,65.8,Digital Wallet,2024-06,Monday,Q2,2024
26,2025-10-14,5,281,10,18,2,6.19,3.2,12.38,6.4,5.98,48.3,Loyalty Points,2025-10,Tuesday,Q4,2025
27,2025-09-23,1,581,40,1,1,8.86,2.8,8.86,2.8,6.06,68.4,Cash,2025-09,Tuesday,Q3,2025
28,2025-05-03,1,867,39,2,1,13.45,4.0,13.45,4.0,9.45,70.3,Card,2025-05,Saturday,Q2,2025
29,2024-05-20,1,232,4,3,2,13.59,7.0,27.18,14.0,13.18,48.5,Card,2024-05,Monday,Q2,2024
30,2024-02-10,3,529,36,12,4,22.76,7.0,91.04,28.0,63.04,69.2,Card,2024-02,Saturday,Q1,2024
31,2024-10-19,2,433,12,6,3,29.88,8.0,89.64,24.0,65.64,73.2,Cash,2024-10,Saturday,Q4,2024
32,2025-12-13,3,403,21,10,1,31.14,8.0,31.14,8.0,23.14,74.3,Card,2025-12,Saturday,Q4,2025
33,2024-05-06,1,724,29,4,2,40.9,10.0,81.8,20.0,61.8,75.6,Loyalty Points,2024-05,Monday,Q2,2024
34,2025-09-18,5,388,31,19,1,10.06,3.5,10.06,3.5,6.56,65.2,Cash,2025-09,Thursday,Q3,2025
35,2024-06-02,1,149,12,3,2,29.42,8.0,58.84,16.0,42.84,72.8,Digital Wallet,2024-06,Sunday,Q2,2024
36,2025-04-01,1,186,5,3,1,8.09,4.5,8.09,4.5,3.59,44.4,Card,2025-04,Tuesday,Q2,2025
37,2025-05-25,3,6,39,12,3,12.93,4.0,38.79,12.0,26.79,69.1,Card,2025-05,Sunday,Q2,2025
38,2025-09-07,3,251,44,10,1,42.96,15.0,42.96,15.0,27.96,65.1,Card,2025-09,Sunday,Q3,2025
39,2024-11-01,2,90,6,7,1,7.08,3.8,7.08,3.8,3.28,46.3,Cash,2024-11,Friday,Q4,2024
40,2025-01-03,5,96,50,20,1,18.57,5.5,18.57,5.5,13.07,70.4,Digital Wallet,2025-01,Friday,Q1,2025
41,2025-07-17,1,483,11,4,2,1001.46,650.0,2002.92,1300.0,702.92,35.1,Cash,2025-07,Thursday,Q3,2025
42,2025-05-10,4,620,48,15,5,18.53,6.5,92.65,32.5,60.15,64.9,Cash,2025-05,Saturday,Q2,2025
43,2025-05-24,2,185,40,6,1,8.54,2.8,8.54,2.8,5.74,67.2,Card,2025-05,Saturday,Q2,2025
44,2025-02-27,1,359,36,2,3,23.43,7.0,70.29,21.0,49.29,70.1,Card,2025-02,Thursday,Q1,2025
45,2024-03-10,2,519,36,7,1,22.63,7.0,22.63,7.0,15.63,69.1,Digital Wallet,2024-03,Sunday,Q1,2024
46,2025-11-19,2,486,3,8,2,7.79,4.2,15.58,8.4,7.18,46.1,Card,2025-11,Wednesday,Q4,2025
47,2024-12-09,2,834,27,7,4,65.41,18.0,261.64,72.0,189.64,72.5,Cash,2024-12,Monday,Q4,2024
48,2024-12-28,1,153,18,4,3,50.62,18.0,151.86,54.0,97.86,64.4,Digital Wallet,2024-12,Saturday,Q4,2024
49,2024-11-11,3,323,46,12,1,25.93,8.0,25.93,8.0,17.93,69.1,Card,2024-11,Monday,Q4,2024
50,2024-11-05,1,310,12,2,1,31.23,8.0,31.23,8.0,23.23,74.4,Card,2024-11,Tuesday,Q4,2024
51,2025-06-12,3,136,14,9,2,19.0,5.0,38.0,10.0,28.0,73.7,Digital Wallet,2025-06,Thursday,Q2,2025
52,2025-10-16,5,329,13,19,1,101.7,45.0,101.7,45.0,56.7,55.8,Cash,2025-10,Thursday,Q4,2025
53,2024-10-06,1,281,8,1,1,10.68,5.5,10.68,5.5,5.18,48.5,Card,2024-10,Sunday,Q4,2024
54,2024-11-22,1,966,46,2,3,23.92,8.0,71.76,24.0,47.76,66.6,Cash,2024-11,Friday,Q4,2024
55,2024-02-21,1,56,6,4,1,7.08,3.8,7.08,3.8,3.28,46.3,Card,2024-02,Wednesday,Q1,2024
56,2025-04-21,3,96,45,12,1,19.93,6.0,19.93,6.0,13.93,69.9,Digital Wallet,2025-04,Monday,Q2,2025
57,2024-05-27,4,632,9,15,1,2.26,0.9,2.26,0.9,1.36,60.2,Digital Wallet,2024-05,Monday,Q2,2024
58,2025-04-09,2,67,26,6,1,48.9,12.0,48.9,12.0,36.9,75.5,Card,2025-04,Wednesday,Q2,2025
59,2024-11-29,3,73,20,12,1,24.34,6.0,24.34,6.0,18.34,75.3,Card,2024-11,Friday,Q4,2024
60,2024-08-29,1,686,3,4,4,7.21,4.2,28.84,16.8,12.04,41.7,Cash,2024-08,Thursday,Q3,2024
61,2024-11-29,3,842,22,9,1,81.47,22.0,81.47,22.0,59.47,73.0,Cash,2024-11,Friday,Q4,2024
62,2025-01-23,2,661,43,6,1,6.22,1.8,6.22,1.8,4.42,71.1,Digital Wallet,2025-01,Thursday,Q1,2025
63,2025-10-13,4,776,10,15,2,6.43,3.2,12.86,6.4,6.46,50.2,Cash,2025-10,Monday,Q4,2025
64,2024-04-01,3,627,33,11,1,16.25,5.5,16.25,5.5,10.75,66.2,Digital Wallet,2024-04,Monday,Q2,2024
65,2024-02-24,1,574,23,1,1,145.06,45.0,145.06,45.0,100.06,69.0,Digital Wallet,2024-02,Saturday,Q1,2024
66,2025-11-09,1,143,13,4,1,95.58,45.0,95.58,45.0,50.58,52.9,Loyalty Points,2025-11,Sunday,Q4,2025
67,2025-11-17,1,12,8,4,1,11.17,5.5,11.17,5.5,5.67,50.8,Loyalty Points,2025-11,Monday,Q4,2025
68,2025-12-13,3,436,34,12,1,7.9,2.5,7.9,2.5,5.4,68.4,Card,2025-12,Saturday,Q4,2025
69,2024-10-02,2,560,32,8,1,20.4,6.0,20.4,6.0,14.4,70.6,Card,2024-10,Wednesday,Q4,2024
70,2024-10-13,2,81,30,5,2,30.54,8.0,61.08,16.0,45.08,73.8,Card,2024-10,Sunday,Q4,2024
71,2025-08-16,2,55,47,8,1,17.01,5.0,17.01,5.0,12.01,70.6,Card,2025-08,Saturday,Q3,2025
72,2024-12-05,2,984,50,7,1,18.4,5.5,18.4,5.5,12.9,70.1,Cash,2024-12,Thursday,Q4,2024
73,2025-10-01,1,497,6,3,1,6.83,3.8,6.83,3.8,3.03,44.4,Cash,2025-10,Wednesday,Q4,2025
74,2025-05-11,1,541,44,2,1,45.42,15.0,45.42,15.0,30.42,67.0,Digital Wallet,2025-05,Sunday,Q2,2025
75,2025-10-14,1,592,34,1,1,7.63,2.5,7.63,2.5,5.13,67.2,Card,2025-10,Tuesday,Q4,2025
76,2025-05-02,2,765,49,8,4,27.92,9.0,111.68,36.0,75.68,67.8,Card,2025-05,Friday,Q2,2025
77,2025-03-21,1,950,41,1,1,14.39,4.0,14.39,4.0,10.39,72.2,Card,2025-03,Friday,Q1,2025
78,2024-12-28,5,443,27,19,2,63.48,18.0,126.96,36.0,90.96,71.6,Card,2024-12,Saturday,Q4,2024
79,2025-11-01,3,473,50,10,2,18.03,5.5,36.06,11.0,25.06,69.5,Cash,2025-11,Saturday,Q4,2025
80,2024-07-03,2,11,36,5,3,23.05,7.0,69.15,21.0,48.15,69.6,Cash,2024-07,Wednesday,Q3,2024
81,2024-12-25,1,291,9,1,1,2.3,0.9,2.3,0.9,1.4,60.9,Cash,2024-12,Wednesday,Q4,2024
82,2024-08-10,5,654,8,18,2,10.86,5.5,21.72,11.0,10.72,49.4,Digital Wallet,2024-08,Saturday,Q3,2024
83,2025-10-25,3,991,12,11,3,29.37,8.0,88.11,24.0,64.11,72.8,Cash,2025-10,Saturday,Q4,2025
84,2025-11-14,4,332,17,13,1,295.5,120.0,295.5,120.0,175.5,59.4,Card,2025-11,Friday,Q4,2025
85,2024-03-02,1,833,17,2,1,302.3,120.0,302.3,120.0,182.3,60.3,Card,2024-03,Saturday,Q1,2024
86,2025-05-18,1,554,40,4,1,9.18,2.8,9.18,2.8,6.38,69.5,Card,2025-05,Sunday,Q2,2025
87,2024-03-15,1,746,17,4,2,288.5,120.0,577.0,240.0,337.0,58.4,Cash,2024-03,Friday,Q1,2024
88,2024-02-08,3,273,6,9,1,7.01,3.8,7.01,3.8,3.21,45.8,Digital Wallet,2024-02,Thursday,Q1,2024
89,2025-07-07,1,394,48,3,3,18.67,6.5,56.01,19.5,36.51,65.2,Card,2025-07,Monday,Q3,2025
90,2024-12-14,1,471,36,1,1,24.06,7.0,24.06,7.0,17.06,70.9,Cash,2024-12,Saturday,Q4,2024
91,2024-11-02,3,918,7,9,2,2.91,1.2,5.82,2.4,3.42,58.8,Card,2024-11,Saturday,Q4,2024
92,2024-07-13,1,198,2,4,2,5.44,2.5,10.88,5.0,5.88,54.0,Digital Wallet,2024-07,Saturday,Q3,2024
93,2024-01-17,1,58,14,2,2,20.6,5.0,41.2,10.0,31.2,75.7,Cash,2024-01,Wednesday,Q1,2024
94,2024-03-14,1,145,32,1,2,19.48,6.0,38.96,12.0,26.96,69.2,Cash,2024-03,Thursday,Q1,2024
95,2024-01-15,1,52,20,2,3,25.83,6.0,77.49,18.0,59.49,76.8,Card,2024-01,Monday,Q1,2024
96,2025-03-12,2,856,48,6,2,18.65,6.5,37.3,13.0,24.3,65.1,Loyalty Points,2025-03,Wednesday,Q1,2025
97,2024-08-06,4,608,7,16,1,2.71,1.2,2.71,1.2,1.51,55.7,Card,2024-08,Tuesday,Q3,2024
98,2024-06-17,2,948,38,8,1,7.18,2.2,7.18,2.2,4.98,69.4,Card,2024-06,Monday,Q2,2024
99,2025-08-30,4,427,30,14,2,29.11,8.0,58.22,16.0,42.22,72.5,Cash,2025-08,Saturday,Q3,2025
100,2025-06-19,2,245,12,6,2,30.64,8.0,61.28,16.0,45.28,73.9,Cash,2025-06,Thursday,Q2,2025
101,2024-03-31,3,802,20,10,1,24.22,6.0,24.22,6.0,18.22,75.2,Loyalty Points,2024-03,Sunday,Q1,2024
102,2024-04-07,3,884,40,10,1,8.79,2.8,8.79,2.8,5.99,68.1,Card,2024-04,Sunday,Q2,2024
103,2024-06-01,3,992,31,9,1,9.54,3.5,9.54,3.5,6.04,63.3,Card,2024-06,Saturday,Q2,2024
104,2025-05-11,2,73,16,7,2,89.26,35.0,178.52,70.0,108.52,60.8,Digital Wallet,2025-05,Sunday,Q2,2025
105,2024-11-29,1,113,21,4,1,31.1,8.0,31.1,8.0,23.1,74.3,Card,2024-11,Friday,Q4,2024
106,2024-08-13,1,600,32,2,1,20.85,6.0,20.85,6.0,14.85,71.2,Card,2024-08,Tuesday,Q3,2024
107,2025-01-31,2,469,47,7,1,16.48,5.0,16.48,5.0,11.48,69.7,Card,2025-01,Friday,Q1,2025
108,2025-12-09,3,288,9,12,1,2.13,0.9,2.13,0.9,1.23,57.7,Card,2025-12,Tuesday,Q4,2025
109,2024-08-09,3,858,25,10,1,19.49,5.0,19.49,5.0,14.49,74.3,Card,2024-08,Friday,Q3,2024
110,2025-03-11,3,491,41,12,2,14.6,4.0,29.2,8.0,21.2,72.6,Cash,2025-03,Tuesday,Q1,2025
111,2024-01-13,3,417,48,9,1,18.07,6.5,18.07,6.5,11.57,64.0,Cash,2024-01,Saturday,Q1,2024
112,2024-06-14,3,879,37,12,2,49.81,18.0,99.62,36.0,63.62,63.9,Card,2024-06,Friday,Q2,2024
113,2025-12-21,2,809,24,5,2,164.73,55.0,329.46,110.0,219.46,66.6,Card,2025-12,Sunday,Q4,2025
114,2025-12-08,2,34,17,6,2,307.6,120.0,615.2,240.0,375.2,61.0,Card,2025-12,Monday,Q4,2025
115,2024-12-09,4,57,33,13,4,16.33,5.5,65.32,22.0,43.32,66.3,Card,2024-12,Monday,Q4,2024
116,2025-09-25,1,376,13,2,2,95.42,45.0,190.84,90.0,100.84,52.8,Card,2025-09,Thursday,Q3,2025
117,2025-12-20,1,763,40,4,1,8.79,2.8,8.79,2.8,5.99,68.1,Card,2025-12,Saturday,Q4,2025
118,2024-12-19,2,514,24,7,1,158.24,55.0,158.24,55.0,103.24,65.2,Card,2024-12,Thursday,Q4,2024
119,2025-11-20,5,829,49,20,3,26.83,9.0,80.49,27.0,53.49,66.5,Card,2025-11,Thursday,Q4,2025
120,2024-07-02,1,980,3,2,1,7.5,4.2,7.5,4.2,3.3,44.0,Digital Wallet,2024-07,Tuesday,Q3,2024
121,2024-05-15,2,431,25,5,2,19.03,5.0,38.06,10.0,28.06,73.7,Digital Wallet,2024-05,Wednesday,Q2,2024
122,2025-05-12,3,714,34,11,3,8.04,2.5,24.12,7.5,16.62,68.9,Digital Wallet,2025-05,Monday,Q2,2025
123,2024-11-09,1,267,15,1,1,57.88,22.0,57.88,22.0,35.88,62.0,Card,2024-11,Saturday,Q4,2024
124,2025-12-26,3,683,10,11,1,6.55,3.2,6.55,3.2,3.35,51.1,Card,2025-12,Friday,Q4,2025
125,2025-01-13,1,576,46,3,1,24.11,8.0,24.11,8.0,16.11,66.8,Card,2025-01,Monday,Q1,2025
126,2024-06-15,3,125,46,10,1,26.11,8.0,26.11,8.0,18.11,69.4,Digital Wallet,2024-06,Saturday,Q2,2024
127,2024-06-08,1,757,24,3,1,158.59,55.0,158.59,55.0,103.59,65.3,Card,2024-06,Saturday,Q2,2024
128,2024-12-12,3,750,23,9,1,146.14,45.0,146.14,45.0,101.14,69.2,Card,2024-12,Thursday,Q4,2024
129,2024-08-13,2,95,14,6,2,20.55,5.0,41.1,10.0,31.1,75.7,Digital Wallet,2024-08,Tuesday,Q3,2024
130,2025-11-13,2,152,32,5,1,19.56,6.0,19.56,6.0,13.56,69.3,Card,2025-11,Thursday,Q4,2025
131,2025-02-28,1,602,39,4,1,13.62,4.0,13.62,4.0,9.62,70.6,Card,2025-02,Friday,Q1,2025
132,2024-12-09,1,984,33,3,1,16.84,5.5,16.84,5.5,11.34,67.3,Cash,2024-12,Monday,Q4,2024
133,2025-12-28,3,937,11,12,1,953.27,650.0,953.27,650.0,303.27,31.8,Digital Wallet,2025-12,Sunday,Q4,2025
134,2025-08-22,2,573,48,5,1,18.33,6.5,18.33,6.5,11.83,64.5,Card,2025-08,Friday,Q3,2025
135,2025-03-03,1,929,45,3,2,19.98,6.0,39.96,12.0,27.96,70.0,Loyalty Points,2025-03,Monday,Q1,2025
136,2025-10-05,3,998,45,9,3,20.68,6.0,62.04,18.0,44.04,71.0,Card,2025-10,Sunday,Q4,2025
137,2024-02-29,1,473,45,3,1,19.71,6.0,19.71,6.0,13.71,69.6,Cash,2024-02,Thursday,Q1,2024
138,2024-12-30,1,299,31,2,4,10.25,3.5,41.0,14.0,27.0,65.9,Cash,2024-12,Monday,Q4,2024
139,2024-11-04,1,715,37,2,1,47.55,18.0,47.55,18.0,29.55,62.1,Card,2024-11,Monday,Q4,2024
140,2025-01-16,4,422,14,14,3,20.0,5.0,60.0,15.0,45.0,75.0,Digital Wallet,2025-01,Thursday,Q1,2025
141,2025-12-20,4,117,21,14,3,31.26,8.0,93.78,24.0,69.78,74.4,Card,2025-12,Saturday,Q4,2025
142,2024-11-15,3,143,39,11,3,12.56,4.0,37.68,12.0,25.68,68.2,Card,2024-11,Friday,Q4,2024
143,2024-05-01,1,878,45,2,1,19.41,6.0,19.41,6.0,13.41,69.1,Loyalty Points,2024-05,Wednesday,Q2,2024
144,2025-04-25,1,260,3,1,1,7.71,4.2,7.71,4.2,3.51,45.5,Digital Wallet,2025-04,Friday,Q2,2025
145,2024-07-29,3,205,13,11,1,103.44,45.0,103.44,45.0,58.44,56.5,Card,2024-07,Monday,Q3,2024
146,2024-06-13,4,800,39,13,1,13.41,4.0,13.41,4.0,9.41,70.2,Digital Wallet,2024-06,Thursday,Q2,2024
147,2025-06-25,1,197,49,1,1,29.32,9.0,29.32,9.0,20.32,69.3,Card,2025-06,Wednesday,Q2,2025
148,2025-03-26,3,110,13,10,1,99.14,45.0,99.14,45.0,54.14,54.6,Card,2025-03,Wednesday,Q1,2025
149,2024-11-17,1,113,34,3,1,8.04,2.5,8.04,2.5,5.54,68.9,Card,2024-11,Sunday,Q4,2024
150,2024-12-01,2,395,17,8,2,290.8,120.0,581.6,240.0,341.6,58.7,Card,2024-12,Sunday,Q4,2024
151,2025-03-14,1,72,31,1,4,10.49,3.5,41.96,14.0,27.96,66.6,Card,2025-03,Friday,Q1,2025
152,2024-04-17,2,536,35,8,1,7.13,2.0,7.13,2.0,5.13,71.9,Loyalty Points,2024-04,Wednesday,Q2,2024
153,2024-06-21,1,999,13,4,1,95.27,45.0,95.27,45.0,50.27,52.8,Digital Wallet,2024-06,Friday,Q2,2024
154,2025-05-26,1,731,50,4,2,17.73,5.5,35.46,11.0,24.46,69.0,Cash,2025-05,Monday,Q2,2025
155,2024-05-05,1,510,15,1,2,61.42,22.0,122.84,44.0,78.84,64.2,Digital Wallet,2024-05,Sunday,Q2,2024
156,2025-03-16,4,122,18,16,1,47.67,18.0,47.67,18.0,29.67,62.2,Card,2025-03,Sunday,Q1,2025
157,2025-11-06,4,311,46,15,1,25.53,8.0,25.53,8.0,17.53,68.7,Card,2025-11,Thursday,Q4,2025
158,2025-05-02,3,161,29,12,1,40.46,10.0,40.46,10.0,30.46,75.3,Card,2025-05,Friday,Q2,2025
159,2024-10-18,2,29,33,5,1,17.44,5.5,17.44,5.5,11.94,68.5,Cash,2024-10,Friday,Q4,2024
160,2025-01-24,1,354,23,2,1,145.24,45.0,145.24,45.0,100.24,69.0,Cash,2025-01,Friday,Q1,2025
161,2025-08-29,1,705,5,2,3,8.09,4.5,24.27,13.5,10.77,44.4,Card,2025-08,Friday,Q3,2025
162,2025-04-16,3,433,32,12,3,20.17,6.0,60.51,18.0,42.51,70.3,Loyalty Points,2025-04,Wednesday,Q2,2025
163,2025-01-21,3,331,32,10,3,19.66,6.0,58.98,18.0,40.98,69.5,Card,2025-01,Tuesday,Q1,2025
164,2025-11-14,2,630,20,8,1,25.33,6.0,25.33,6.0,19.33,76.3,Loyalty Points,2025-11,Friday,Q4,2025
165,2024-03-18,4,549,14,16,1,20.6,5.0,20.6,5.0,15.6,75.7,Cash,2024-03,Monday,Q1,2024
166,2024-04-04,3,593,4,12,1,12.91,7.0,12.91,7.0,5.91,45.8,Card,2024-04,Thursday,Q2,2024
167,2024-03-19,3,310,33,11,3,16.48,5.5,49.44,16.5,32.94,66.6,Card,2024-03,Tuesday,Q1,2024
168,2025-10-01,2,688,40,6,1,9.06,2.8,9.06,2.8,6.26,69.1,Card,2025-10,Wednesday,Q4,2025
169,2025-03-20,5,745,41,20,1,14.46,4.0,14.46,4.0,10.46,72.3,Card,2025-03,Thursday,Q1,2025
170,2024-03-06,3,867,27,10,1,63.41,18.0,63.41,18.0,45.41,71.6,Cash,2024-03,Wednesday,Q1,2024
171,2024-07-25,1,140,4,2,2,13.19,7.0,26.38,14.0,12.38,46.9,Card,2024-07,Thursday,Q3,2024
172,2025-05-12,4,57,6,13,1,7.28,3.8,7.28,3.8,3.48,47.8,Card,2025-05,Monday,Q2,2025
173,2024-05-23,1,585,48,3,1,18.98,6.5,18.98,6.5,12.48,65.8,Card,2024-05,Thursday,Q2,2024
174,2025-09-06,1,827,21,4,1,30.91,8.0,30.91,8.0,22.91,74.1,Digital Wallet,2025-09,Saturday,Q3,2025
175,2025-03-09,1,110,13,3,4,102.59,45.0,410.36,180.0,230.36,56.1,Card,2025-03,Sunday,Q1,2025
176,2025-06-30,2,972,4,6,1,13.6,7.0,13.6,7.0,6.6,48.5,Digital Wallet,2025-06,Monday,Q2,2025
177,2025-09-12,1,758,35,2,4,6.82,2.0,27.28,8.0,19.28,70.7,Card,2025-09,Friday,Q3,2025
178,2024-02-04,1,83,50,4,4,18.76,5.5,75.04,22.0,53.04,70.7,Card,2024-02,Sunday,Q1,2024
179,2025-03-08,4,840,4,13,1,12.81,7.0,12.81,7.0,5.81,45.4,Cash,2025-03,Saturday,Q1,2025
180,2024-07-07,3,811,34,11,1,7.84,2.5,7.84,2.5,5.34,68.1,Card,2024-07,Sunday,Q3,2024
181,2024-07-22,1,377,12,2,1,28.55,8.0,28.55,8.0,20.55,72.0,Card,2024-07,Monday,Q3,2024
182,2024-07-22,1,873,6,3,1,6.75,3.8,6.75,3.8,2.95,43.7,Loyalty Points,2024-07,Monday,Q3,2024
183,2024-06-23,5,121,1,20,2,3.92,2.2,7.84,4.4,3.44,43.9,Card,2024-06,Sunday,Q2,2024
184,2024-08-17,3,196,18,10,1,49.65,18.0,49.65,18.0,31.65,63.7,Card,2024-08,Saturday,Q3,2024
185,2024-08-08,5,290,34,18,1,7.61,2.5,7.61,2.5,5.11,67.1,Loyalty Points,2024-08,Thursday,Q3,2024
186,2025-12-04,1,393,46,1,1,23.98,8.0,23.98,8.0,15.98,66.6,Card,2025-12,Thursday,Q4,2025
187,2024-05-15,1,728,24,1,1,166.61,55.0,166.61,55.0,111.61,67.0,Card,2024-05,Wednesday,Q2,2024
188,2024-10-14,4,949,22,15,3,80.13,22.0,240.39,66.0,174.39,72.5,Card,2024-10,Monday,Q4,2024
189,2024-06-17,2,504,49,8,4,26.74,9.0,106.96,36.0,70.96,66.3,Card,2024-06,Monday,Q2,2024
190,2024-08-23,1,482,17,1,1,313.81,120.0,313.81,120.0,193.81,61.8,Digital Wallet,2024-08,Friday,Q3,2024
191,2024-02-11,2,727,36,6,1,22.12,7.0,22.12,7.0,15.12,68.4,Card,2024-02,Sunday,Q1,2024
192,2024-10-17,1,173,36,2,3,23.18,7.0,69.54,21.0,48.54,69.8,Loyalty Points,2024-10,Thursday,Q4,2024
193,2025-06-22,4,185,27,16,4,66.14,18.0,264.56,72.0,192.56,72.8,Digital Wallet,2025-06,Sunday,Q2,2025
194,2024-01-27,1,697,8,1,1,11.37,5.5,11.37,5.5,5.87,51.6,Card,2024-01,Saturday,Q1,2024
195,2024-03-24,2,725,43,7,1,6.05,1.8,6.05,1.8,4.25,70.2,Card,2024-03,Sunday,Q1,2024
196,2025-08-05,1,884,2,1,2,5.63,2.5,11.26,5.0,6.26,55.6,Card,2025-08,Tuesday,Q3,2025
197,2025-02-12,1,873,8,2,1,10.58,5.5,10.58,5.5,5.08,48.0,Card,2025-02,Wednesday,Q1,2025
198,2025-01-12,3,445,34,12,1,8.13,2.5,8.13,2.5,5.63,69.2,Cash,2025-01,Sunday,Q1,2025
199,2025-12-31,1,508,34,3,2,7.96,2.5,15.92,5.0,10.92,68.6,Card,2025-12,Wednesday,Q4,2025
200,2025-05-04,2,131,37,8,1,48.97,18.0,48.97,18.0,30.97,63.2,Card,2025-05,Sunday,Q2,2025
201,2024-03-19,5,526,4,19,1,12.81,7.0,12.81,7.0,5.81,45.4,Cash,2024-03,Tuesday,Q1,2024
202,2025-05-30,1,759,35,4,1,6.67,2.0,6.67,2.0,4.67,70.0,Card,2025-05,Friday,Q2,2025
203,2025-12-22,1,602,47,3,1,16.72,5.0,16.72,5.0,11.72,70.1,Digital Wallet,2025-12,Monday,Q4,2025
204,2024-04-18,2,19,1,8,1,3.78,2.2,3.78,2.2,1.58,41.8,Card,2024-04,Thursday,Q2,2024
205,2024-03-30,1,15,7,2,3,2.9,1.2,8.7,3.6,5.1,58.6,Card,2024-03,Saturday,Q1,2024
206,2025-10-26,1,248,23,2,2,142.83,45.0,285.66,90.0,195.66,68.5,Digital Wallet,2025-10,Sunday,Q4,2025
207,2024-05-31,2,23,8,8,1,11.51,5.5,11.51,5.5,6.01,52.2,Card,2024-05,Friday,Q2,2024
208,2025-04-05,3,207,12,11,3,28.51,8.0,85.53,24.0,61.53,71.9,Cash,2025-04,Saturday,Q2,2025
209,2025-12-31,2,426,32,7,2,19.06,6.0,38.12,12.0,26.12,68.5,Card,2025-12,Wednesday,Q4,2025
210,2024-08-25,3,541,1,11,2,3.95,2.2,7.9,4.4,3.5,44.3,Card,2024-08,Sunday,Q3,2024
211,2024-01-22,1,744,13,2,1,99.87,45.0,99.87,45.0,54.87,54.9,Cash,2024-01,Monday,Q1,2024
212,2025-09-08,4,733,35,16,1,7.31,2.0,7.31,2.0,5.31,72.6,Digital Wallet,2025-09,Monday,Q3,2025
213,2025-09-28,1,708,48,2,1,18.42,6.5,18.42,6.5,11.92,64.7,Cash,2025-09,Sunday,Q3,2025
214,2024-04-13,4,966,32,13,1,20.99,6.0,20.99,6.0,14.99,71.4,Card,2024-04,Saturday,Q2,2024
